Index;file;width;height;depth;class;xmin;ymin;xmax;ymax
0;l_light_01_missing_hole_01_1_600;600;600;3;missing_hole;240;404;282;437
1;l_light_01_missing_hole_01_2_600;600;600;3;missing_hole;362;12;402;49
2;l_light_01_missing_hole_01_2_600;600;600;3;missing_hole;433;302;476;338
3;l_light_01_missing_hole_02_1_600;600;600;3;missing_hole;318;147;358;187
4;l_light_01_missing_hole_02_1_600;600;600;3;missing_hole;181;507;204;541
5;l_light_01_missing_hole_02_2_600;600;600;3;missing_hole;181;107;204;141
6;l_light_01_missing_hole_02_3_600;600;600;3;missing_hole;295;307;326;339
7;l_light_01_missing_hole_03_1_600;600;600;3;missing_hole;361;308;390;334
8;l_light_01_missing_hole_03_1_600;600;600;3;missing_hole;2;368;33;390
9;l_light_01_missing_hole_03_2_600;600;600;3;missing_hole;191;273;221;301
10;l_light_01_missing_hole_04_1_600;600;600;3;missing_hole;214;477;243;512
11;l_light_01_missing_hole_04_2_600;600;600;3;missing_hole;214;77;243;112
12;l_light_01_missing_hole_04_2_600;600;600;3;missing_hole;138;237;174;272
13;l_light_01_missing_hole_05_1_600;600;600;3;missing_hole;508;189;541;229
14;l_light_01_missing_hole_05_1_600;600;600;3;missing_hole;177;187;222;235
15;l_light_01_missing_hole_05_2_600;600;600;3;missing_hole;19;464;43;497
16;l_light_01_missing_hole_05_2_600;600;600;3;missing_hole;362;48;401;89
17;l_light_01_missing_hole_06_1_600;600;600;3;missing_hole;1;506;36;541
18;l_light_01_missing_hole_06_2_600;600;600;3;missing_hole;1;106;36;141
19;l_light_01_missing_hole_06_3_600;600;600;3;missing_hole;257;104;291;141
20;l_light_01_missing_hole_06_3_600;600;600;3;missing_hole;181;560;217;599
21;l_light_01_missing_hole_07_1_600;600;600;3;missing_hole;316;151;357;185
22;l_light_01_missing_hole_07_2_600;600;600;3;missing_hole;440;16;474;48
23;l_light_01_missing_hole_07_2_600;600;600;3;missing_hole;222;458;270;507
24;l_light_01_missing_hole_08_1_600;600;600;3;missing_hole;305;310;339;345
25;l_light_01_missing_hole_08_2_600;600;600;3;missing_hole;427;442;463;483
26;l_light_01_missing_hole_08_3_600;600;600;3;missing_hole;427;42;463;83
27;l_light_01_missing_hole_08_3_600;600;600;3;missing_hole;352;444;390;476
28;l_light_01_missing_hole_09_1_600;600;600;3;missing_hole;103;305;139;341
29;l_light_01_missing_hole_09_2_600;600;600;3;missing_hole;305;306;339;343
30;l_light_01_missing_hole_09_3_600;600;600;3;missing_hole;116;192;158;234
31;l_light_01_missing_hole_10_1_600;600;600;3;missing_hole;210;475;244;514
32;l_light_01_missing_hole_10_1_600;600;600;3;missing_hole;547;394;576;429
33;l_light_01_missing_hole_10_2_600;600;600;3;missing_hole;210;75;244;114
34;l_light_01_missing_hole_10_2_600;600;600;3;missing_hole;547;1;576;29
35;l_light_01_missing_hole_10_3_600;600;600;3;missing_hole;369;55;398;85
36;l_light_01_missing_hole_11_1_600;600;600;3;missing_hole;305;533;353;577
37;l_light_01_missing_hole_11_2_600;600;600;3;missing_hole;305;133;353;177
38;l_light_01_missing_hole_11_3_600;600;600;3;missing_hole;1;433;40;473
39;l_light_01_missing_hole_11_4_600;600;600;3;missing_hole;1;33;40;73
40;l_light_01_missing_hole_11_5_600;600;600;3;missing_hole;291;265;326;304
41;l_light_01_missing_hole_12_2_600;600;600;3;missing_hole;349;189;391;223
42;l_light_01_missing_hole_12_2_600;600;600;3;missing_hole;240;370;281;404
43;l_light_01_missing_hole_12_3_600;600;600;3;missing_hole;15;461;47;500
